Company,Predicted Drawdown Solution,Groundtruth Drawdown Solution,Probability Score,Company Description,Drawdown definition,Website
Seawater solutions,Conservation Agriculture,nan,"tensor(0.5253, device='mps:0')","Promoting climate resilience in agriculture. Looking for global partners on saltmarsh creation projects for agriculture. We encourage farmers globally to engage in sustainable, seawater-based, agriculture to protect our environment while producing all our food and energy needs!","An agricultural practice aimed at improving soil health, increasing biodiversity, and reducing greenhouse gas emissions.",https://www.seawatersolutions.org
Distributed energy,Distributed Energy Storage,nan,"tensor(0.6292, device='mps:0')",Distributed Energy is a development and aggregation platform that connects renewable projects with funders.,"Systems that store energy at multiple decentralized locations, allowing for the balance of energy supply and demand at a local level.",https://www.de.energy
Energyos,Distributed Energy Storage,nan,"tensor(0.5511, device='mps:0')","energyOS provides energy management services to consumers and portfolio services to electricity companies and other portfolio managers. Developer of an energy management platform designed to help consumers save money. The company's energy management platform keeps track of electricity use, collects and analyses the data and offers consumers the option to remotely control major appliances such as air conditioners, hot water systems and pool pumps, enabling the users to manage electricity usage easily and save money.","Systems that store energy at multiple decentralized locations, allowing for the balance of energy supply and demand at a local level.",https://www.energyos.com.au
Carbontrack,Distributed Energy Storage,nan,"tensor(0.5383, device='mps:0')",Help shape the energy future To reach our distributed energy goals we need to start with the empowered energy consumer in mind.,"Systems that store energy at multiple decentralized locations, allowing for the balance of energy supply and demand at a local level.",https://www.carbontrack.com.au
Plus power,Distributed Energy Storage,nan,"tensor(0.5208, device='mps:0')","Plus Power offers electric utilities that provide capacity, energy and ancillary services to energy industries.","Systems that store energy at multiple decentralized locations, allowing for the balance of energy supply and demand at a local level.",https://www.plusenergystorage.com
Localvolts,Distributed Energy Storage,nan,"tensor(0.5162, device='mps:0')","Developer of energy trading platform designed to meet the needs and trade electricity. The company's platform allows its members to trade excess energy by choosing their energy source of preference and the rate they are willing to pay for it as well as identifies all of the costs involved in consuming electricity including grid charges, metering fees and renewable certificates, enabling consumers to exchange electricity easily and transparently.","Systems that store energy at multiple decentralized locations, allowing for the balance of energy supply and demand at a local level.",https://www.localvolts.com
Solarcity,Distributed Solar Photovoltaics,nan,"tensor(0.7017, device='mps:0')","SolarCity provides solar energy services to homeowners, businesses, government, and non-profit organizations.","Solar PV systems located on homes, businesses, or near the point of use, generating electricity from sunlight and reducing the need for centralized power.",https://www.solarcity.com
Doe solar energy technologies office,Distributed Solar Photovoltaics,nan,"tensor(0.6780, device='mps:0')","The Solar Energy Technologies Office supports early-stage research and development in the technology areas of photovoltaics, concentrating solar-thermal power, and systems integration with the goal of improving the affordability, reliability, and performance of solar technologies on the grid.","Solar PV systems located on homes, businesses, or near the point of use, generating electricity from sunlight and reducing the need for centralized power.",https://www.energy.gov/eere/solar/solar-energy-technologies-office
First solar,Distributed Solar Photovoltaics,Solar Farms,"tensor(0.6621, device='mps:0')",First Solar manufactures thin film photovoltaic modules and provides PV power plants and supporting services. First Solar is a leading global provider of comprehensive photovoltaic (PV) energy solutions.,"Solar PV systems located on homes, businesses, or near the point of use, generating electricity from sunlight and reducing the need for centralized power.",https://www.firstsolar.com
Envision solar international,Distributed Solar Photovoltaics,nan,"tensor(0.6064, device='mps:0')","Envision Solar a manufacturer of solar installations for parking facilities, produces clean energy and improves aesthetics of parking lots.","Solar PV systems located on homes, businesses, or near the point of use, generating electricity from sunlight and reducing the need for centralized power.",https://www.envisionsolar.com
Save by solar,Distributed Solar Photovoltaics,nan,"tensor(0.6052, device='mps:0')",Save by Solar offers complete business solutions to produce solar electricity.,"Solar PV systems located on homes, businesses, or near the point of use, generating electricity from sunlight and reducing the need for centralized power.",https://www.savebysolar.se
Medley thermal,District Heating,nan,"tensor(0.4440, device='mps:0')",Medley Thermal develops software for switching management between the energy sources optimally without disruption to the supply of steam.,"A centralized heating system that supplies heat to multiple buildings in an area, usually through hot water or steam circulated in underground pipes.",https://www.medleythermal.com
Baseload capital,District Heating,nan,"tensor(0.4019, device='mps:0')",Baseload Capital is a Specialized Investment Entity investing in Heat Power. We work globally with the aim to give Heat Power Operators the financial tools to build and operate renewable heat power plants.,"A centralized heating system that supplies heat to multiple buildings in an area, usually through hot water or steam circulated in underground pipes.",https://www.baseloadcap.com
World climate service,District Heating,nan,"tensor(0.3706, device='mps:0')","Long range forecast information and services The World Climate Service (WCS) is created by Prescient Weather. WCS is a one stop shop for climate monitoring, analysis, and forecasting. In the NGO space our capabilities are sometimes called ""early warning systems"" for disruptive climate events.","A centralized heating system that supplies heat to multiple buildings in an area, usually through hot water or steam circulated in underground pipes.",https://www.worldclimateservice.com
